File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
d570eccc-3c1c-4c4f-ae04-96be71fbe016	TCGA-AN-A0FL-01Z-00-DX1.20A041C6-A306-4599-A7D1-65032A252AA9.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AN-A0FL	TCGA-AN-A0FL-01Z	Primary Tumor
7b8b69cd-5e94-46f6-9732-39ea204d680b	TCGA-E2-A14S-01Z-00-DX1.5C332E99-7296-473A-9917-7EFC38A8251D.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A14S	TCGA-E2-A14S-01Z	Primary Tumor
e47bd352-9d96-4abd-b673-9d30038d218a	TCGA-B6-A0RI-01Z-00-DX1.E39951A4-AC6A-4B07-851B-F35CB86D79AA.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-B6-A0RI	TCGA-B6-A0RI-01Z	Primary Tumor
41283902-1b1a-44d7-bc0c-a45b2ccd071c	TCGA-B6-A0RH-01Z-00-DX1.33DB5CF9-AC87-435B-A8AF-C4F84BEF15F1.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-B6-A0RH	TCGA-B6-A0RH-01Z	Primary Tumor
93b26333-5723-4fa4-a4de-6124c04ab243	TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-3C-AALK	TCGA-3C-AALK-01Z	Primary Tumor
1b4fc678-eb7a-46e8-aa8e-c0a6c8fc6c84	TCGA-AR-A0TX-01Z-00-DX1.5BEA4E65-8CEC-49B2-9F29-DBE53E8ED46E.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A0TX	TCGA-AR-A0TX-01Z	Primary Tumor
ac8c09f2-2fd6-43e2-8233-00dcf54dcb0b	TCGA-GM-A2DA-01Z-00-DX1.6E409F88-F654-48C8-A753-BB054037BE16.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-GM-A2DA	TCGA-GM-A2DA-01Z	Primary Tumor
9fa07838-a335-4540-af62-6c9cbabc2327	TCGA-BH-A1FC-01Z-00-DX1.B816A21B-1559-42F5-902A-A1532E59C015.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A1FC	TCGA-BH-A1FC-01Z	Primary Tumor
728d9e14-05c2-479e-8760-bf692653c8d1	TCGA-EW-A3E8-01Z-00-DX1.E185B2E4-3E16-4C66-90D7-FDB9A14BA00D.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A3E8	TCGA-EW-A3E8-01Z	Primary Tumor
976e041a-1344-44ac-8605-4b15168892fe	TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1JI	TCGA-D8-A1JI-01Z	Primary Tumor
20d99899-654b-40a6-bf98-66867bab88dc	TCGA-D8-A1JI-01Z-00-DX1.9BDB647F-EEAB-4235-BE44-A3815A48CCE0.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1JI	TCGA-D8-A1JI-01Z	Primary Tumor
2bcd4629-f31a-4bee-a7ff-aa9663b0c2c5	TCGA-AO-A0JJ-01Z-00-DX1.D5B636F5-1B47-4033-9938-9DC8CD48CEE9.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AO-A0JJ	TCGA-AO-A0JJ-01Z	Primary Tumor
b611c07a-9a2c-4fef-b463-08e5716a8cdb	TCGA-D8-A1XJ-01Z-00-DX1.660DDF8D-6816-4EBE-AF37-6F7A374F4E9E.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1XJ	TCGA-D8-A1XJ-01Z	Primary Tumor
152afa99-38e4-4e90-b030-3294f0730608	TCGA-AC-A2QI-01Z-00-DX1.977549F4-D866-4465-85FB-5C916282A488.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AC-A2QI	TCGA-AC-A2QI-01Z	Primary Tumor
81100322-018d-4957-bec7-c1833e288434	TCGA-D8-A1Y0-01Z-00-DX1.10F40197-4174-43CC-AAD3-8CB85154FB2D.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1Y0	TCGA-D8-A1Y0-01Z	Primary Tumor
21bfc4ae-417c-4603-983b-85a4ae2e92a7	TCGA-AN-A0FD-01Z-00-DX1.8970DBBA-7D43-4C2E-B14A-6D21F1EF3425.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AN-A0FD	TCGA-AN-A0FD-01Z	Primary Tumor
38ed98cc-095c-4257-b625-d51a71c0800d	TCGA-D8-A1JT-01Z-00-DX2.8DB9BB5B-17F3-4D80-835D-872BA275FD3B.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1JT	TCGA-D8-A1JT-01Z	Primary Tumor
9eaa8d4b-04d8-41fa-ade0-4c682f36fccc	TCGA-D8-A1JT-01Z-00-DX1.F278C419-E405-4BDA-BA50-BFBA08801168.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1JT	TCGA-D8-A1JT-01Z	Primary Tumor
7a5024cd-916d-4717-bb1b-6cd0c8e47ca3	TCGA-D8-A1XB-01Z-00-DX2.B262C269-F22B-4306-8195-079C0874EF8E.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1XB	TCGA-D8-A1XB-01Z	Primary Tumor
a97dc689-a9c9-4a85-9d9f-800f284e820a	TCGA-BH-A18J-01Z-00-DX1.AE20ADB6-050C-405D-BF17-1EE4A1A4979A.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A18J	TCGA-BH-A18J-01Z	Primary Tumor
c59e3b8f-04c8-4998-b873-b74334a552d6	TCGA-A2-A0CS-01Z-00-DX1.3986B545-63E8-4727-BCC1-701DE947D1FB.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0CS	TCGA-A2-A0CS-01Z	Primary Tumor
a33f2c07-5c24-4668-86ea-513861101ff6	TCGA-A7-A0CJ-01Z-00-DX2.4B591117-5FC9-4B43-8A45-444CCCABC666.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A0CJ	TCGA-A7-A0CJ-01Z	Primary Tumor
64cf590d-97ba-46a6-a9b0-b79a415de9d3	TCGA-EW-A2FS-01Z-00-DX1.A01C9183-2AC8-456A-B5A6-85C5BB0361D8.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A2FS	TCGA-EW-A2FS-01Z	Primary Tumor
185686ba-6578-4d7f-8bdf-1f98d9682709	TCGA-D8-A27N-01Z-00-DX2.EB803DEC-438B-43A9-B906-FD7C3B9A0138.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A27N	TCGA-D8-A27N-01Z	Primary Tumor
1a62d692-bc08-49f9-ad59-6fddf3bbcb6d	TCGA-A7-A4SF-01Z-00-DX1.CDCFD4BC-4363-4CF2-95F5-4922E04C3B9D.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SF	TCGA-A7-A4SF-01Z	Primary Tumor
3631967b-07b8-4275-92fb-6f66abe465ec	TCGA-AQ-A0Y5-01Z-00-DX1.f68f5b49-30fa-4fb6-bec6-5da9f6809d02.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AQ-A0Y5	TCGA-AQ-A0Y5-01Z	Primary Tumor
b1599f4f-4b9d-4d2c-8b70-9eb08b8b3110	TCGA-C8-A275-01Z-00-DX1.44D27E67-4DD6-4893-B38A-01E48F5A358A.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-C8-A275	TCGA-C8-A275-01Z	Primary Tumor
a6ff4c30-a482-4fbc-a2a0-afd934ab5511	TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0E7	TCGA-BH-A0E7-01Z	Primary Tumor
9448760c-5002-4fb0-bb7b-9e2d7b3959f1	TCGA-EW-A1PG-01Z-00-DX1.A31B2048-D04D-467C-A9E4-6A63942A58C6.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A1PG	TCGA-EW-A1PG-01Z	Primary Tumor
69d5e645-5bb4-42b9-b79c-bca533c2baef	TCGA-AN-A0FY-01Z-00-DX1.25F5E2A1-F92C-4FE1-BD90-0CDDE50DC066.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AN-A0FY	TCGA-AN-A0FY-01Z	Primary Tumor
1d5164fc-1ee7-42b3-906f-20465385eb7b	TCGA-A7-A4SE-01Z-00-DX1.16BC8401-E40E-4A1A-9BD9-12735C9AE3F6.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SE	TCGA-A7-A4SE-01Z	Primary Tumor
a3949b00-f880-4a9d-9ad9-791c11518ddc	TCGA-AR-A1AV-01Z-00-DX1.93698893-7C5C-44C1-A488-ED358D523693.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A1AV	TCGA-AR-A1AV-01Z	Primary Tumor
b3f4c01e-4068-45bc-8a7f-e03683f12d42	TCGA-E2-A10E-01Z-00-DX1.C45030A9-CC1A-4BA7-8F62-872619C5AD5E.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A10E	TCGA-E2-A10E-01Z	Primary Tumor
f7abab4e-54fa-491e-a67a-d401cdc23e1e	TCGA-BH-A0C7-01Z-00-DX1.C70D358E-C48F-4F69-86CE-3218E9C95837.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0C7	TCGA-BH-A0C7-01Z	Primary Tumor
4730b23e-aea1-49a2-ba63-2231fd88b592	TCGA-E2-A14P-01Z-00-DX1.663B02FF-C64B-41A6-8685-FD61CD76F9C6.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A14P	TCGA-E2-A14P-01Z	Primary Tumor
