,AUROC (STD),AUROC (L),AUROC (M),AUROC (H),L ratio,M ratio,H ratio,p (L),p (M),p (H),L-WT,L-MUT,M-WT,M-MUT,H-WT,H-MUT,Tendency
PTEN_CC,"0.802 (0.795,0.808)",0.635,0.568,0.818,0.832,0.851,0.476,0.003,0.0,0.634,0.033,0.165,0.036,0.203,0.295,0.268,0.209
TP53_CC,"0.790 (0.784,0.796)",0.456,0.512,0.718,0.042,0.132,0.565,0.0,0.0,0.003,0.19,0.008,0.207,0.031,0.245,0.318,1.783
CTNNB1_CC,"0.682 (0.674,0.691)",0.544,0.653,0.54,0.421,0.298,0.093,0.086,0.74,0.0,0.115,0.084,0.167,0.071,0.51,0.052,-0.775
ARID1A_CC,"0.669 (0.662,0.675)",0.632,0.492,0.733,0.495,0.474,0.338,0.634,0.001,0.016,0.1,0.098,0.126,0.113,0.372,0.19,-0.122
KRAS_CG,"0.672 (0.663,0.681)",0.656,0.594,0.692,0.253,0.237,0.141,0.93,0.365,0.634,0.149,0.05,0.182,0.056,0.483,0.079,-0.123
MGA_SG,"0.692 (0.682,0.703)",0.7,0.79,0.641,0.053,0.079,0.097,0.941,0.33,0.429,0.188,0.01,0.22,0.019,0.508,0.054,0.624
CTCF_CG,"0.609 (0.602,0.615)",0.579,0.457,0.686,0.263,0.246,0.164,0.74,0.027,0.023,0.146,0.052,0.18,0.059,0.471,0.092,-0.134
JAK1_SG,"0.702 (0.693,0.711)",0.763,0.609,0.711,0.021,0.123,0.138,0.634,0.339,0.941,0.195,0.004,0.209,0.029,0.485,0.077,2.697
NSD1_CG,"0.645 (0.631,0.659)",0.649,0.382,0.709,0.053,0.07,0.1,0.965,0.041,0.314,0.188,0.01,0.222,0.017,0.506,0.056,0.441
APC_SC,"0.650 (0.637,0.663)",0.78,0.663,0.619,0.042,0.07,0.093,0.41,0.965,0.631,0.19,0.008,0.222,0.017,0.51,0.052,0.778
RNF43_CG,"0.605 (0.592,0.617)",0.589,0.517,0.659,0.116,0.149,0.089,0.941,0.437,0.29,0.176,0.023,0.203,0.036,0.513,0.05,0.42
