,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
PTEN_CC,"0.798 (0.791,0.804)",0.795,0.32,0.759,0.926,0.366,0.038,0.16,0.506,0.025,0.309,1.981
TP53_CC,"0.784 (0.777,0.790)",0.732,0.52,0.185,0.074,0.638,0.249,0.543,0.123,0.309,0.025,-1.501
CTNNB1_CC,"0.689 (0.681,0.696)",0.729,0.58,0.352,0.074,0.308,0.308,0.432,0.235,0.309,0.025,-2.756
ARID1A_CC,"0.675 (0.669,0.682)",0.509,0.539,0.315,0.556,0.914,0.914,0.457,0.21,0.148,0.185,1.443
KRAS_CG,"0.674 (0.665,0.683)",0.706,0.682,0.315,0.37,0.871,0.871,0.457,0.21,0.21,0.123,0.357
MGA_SG,"0.692 (0.682,0.702)",0.151,0.571,0.019,0.259,0.002,0.902,0.654,0.012,0.247,0.086,4.201
FGFR2_CG,"0.609 (0.596,0.623)",0.457,0.467,0.093,0.148,0.958,0.958,0.605,0.062,0.284,0.049,0.77
CTCF_CG,"0.610 (0.602,0.618)",0.774,0.67,0.148,0.481,0.524,0.524,0.568,0.099,0.173,0.16,2.415
JAK1_SG,"0.708 (0.699,0.718)",0.204,0.285,0.018,0.308,0.294,0.888,0.667,0.012,0.222,0.099,4.572
NSD1_CG,"0.641 (0.628,0.653)",0.635,0.573,0.037,0.185,0.793,0.793,0.642,0.025,0.272,0.062,2.558
APC_SC,"0.660 (0.646,0.674)",,0.711,0.0,0.296,,0.758,0.667,0.0,0.235,0.099,11.152
RNF43_CG,"0.605 (0.594,0.615)",0.365,0.621,0.037,0.259,0.014,0.741,0.642,0.025,0.247,0.086,3.18
