,AUROC (STD),AUROC (L),AUROC (H),L ratio,H ratio,p (L),p (H),L-WT,L-MUT,H-WT,H-MUT,Tendency
PTEN_CC,"0.798 (0.791,0.804)",0.832,0.633,0.49,0.9,0.089,0.0,0.328,0.316,0.036,0.32,3.225
TP53_CC,"0.784 (0.777,0.790)",0.852,0.53,0.441,0.209,0.0,0.0,0.358,0.282,0.285,0.075,-1.576
CTNNB1_CC,"0.689 (0.681,0.696)",0.763,0.463,0.239,0.151,0.0,0.0,0.487,0.153,0.305,0.054,-0.815
ARID1A_CC,"0.675 (0.669,0.682)",0.708,0.566,0.261,0.655,0.044,0.004,0.475,0.167,0.123,0.234,2.429
KRAS_CG,"0.674 (0.665,0.683)",0.703,0.61,0.117,0.31,0.197,0.197,0.567,0.075,0.247,0.111,1.757
MGA_SG,"0.692 (0.682,0.702)",0.776,0.658,0.01,0.215,0.008,0.648,0.634,0.006,0.282,0.077,4.786
FGFR2_CG,"0.609 (0.596,0.623)",0.658,0.556,0.078,0.14,0.367,0.367,0.59,0.05,0.31,0.05,0.93
CTCF_CG,"0.610 (0.602,0.618)",0.583,0.552,0.107,0.374,0.23,0.23,0.573,0.069,0.224,0.134,2.312
JAK1_SG,"0.708 (0.699,0.718)",0.977,0.615,0.003,0.302,0.0,0.076,0.638,0.002,0.251,0.109,7.032
NSD1_CG,"0.641 (0.628,0.653)",0.729,0.584,0.016,0.205,0.052,0.41,0.632,0.01,0.285,0.073,3.956
APC_SC,"0.660 (0.646,0.674)",0.398,0.626,0.007,0.203,0.0,0.662,0.636,0.004,0.287,0.073,5.272
RNF43_CG,"0.605 (0.594,0.615)",0.346,0.553,0.016,0.273,0.0,0.378,0.63,0.01,0.262,0.098,4.498
